problem_id,trajectory_position,row_in_problem,score,delta_J,y,mask,pos,probe_type
50,15,0,0.2975256905579196,-1.881933641061188,1,0.4,0.0,struct
50,15,1,0.32487345062799206,1.744511961936951,0,0.25,0.0,struct
50,15,2,0.29844328392041247,4.7713705698649065,0,0.3333333333333333,0.25,struct
50,15,3,0.21870462945171595,4.7878828048706055,0,1.0,0.875,floor
34,16,0,0.3566880679676686,6.563263893127441,0,0.5,0.0,struct
34,16,1,0.32370176446741816,-3.7599597652442753,1,0.4285714285714285,0.125,struct
34,16,2,0.3313906411134961,41.56782812004288,0,0.2857142857142857,0.0,struct
402,17,0,0.301249174665529,4.451103846232094,0,0.7142857142857143,0.125,struct
402,17,1,0.2957726753393343,13.396512031555176,0,0.8333333333333334,0.0,struct
402,17,2,0.3137067486935097,-11.403155086934568,1,0.8,0.0,struct
433,18,0,0.32007688334131335,3.213232040405273,0,0.625,0.0,struct
433,18,1,0.3237688690599193,6.521408081054688,0,0.25,0.0,floor
433,18,2,0.2762852836338088,-1.9946960850308333,1,0.4285714285714285,0.125,struct
433,18,3,0.18957152774562816,6.5602240562438965,0,0.6666666666666666,0.625,struct
32,19,0,0.27448801039369264,3.51582407951355,0,0.875,0.0,struct
32,19,1,0.2300359596010192,4.3361066182454415,0,0.7142857142857143,0.125,struct
32,19,2,0.2627112867713014,4.630864143371582,0,0.4,0.0,struct
32,19,3,0.2563624335996198,4.379263877868652,0,0.5714285714285714,0.0,struct
32,19,4,0.2517737336080694,4.718229293823242,0,0.6666666666666666,0.0,struct
32,19,5,0.26597431125825766,-1.307843056196969,1,0.3333333333333333,0.0,struct
32,19,6,0.20959016251222554,-14.335541237611324,1,0.6666666666666666,0.25,struct
423,20,0,0.27181813051494474,6.584559917449951,0,0.5,0.0,struct
423,20,1,0.3001484528417274,1.701740026473999,0,0.5,0.0,struct
423,20,2,0.3106380560814153,2.6623253822326696,0,0.2857142857142857,0.125,struct
423,20,3,0.23850038438418708,7.551936149597168,0,0.3333333333333333,0.625,floor
228,21,0,0.27199044825960994,13.072064399719238,0,0.6,0.375,struct
228,21,1,0.2741024048644505,7.54099178314209,0,0.6666666666666666,0.25,struct
228,21,2,0.304220832595328,15.179776191711426,0,0.75,0.0,struct
228,21,3,0.21568493132168845,-2.877384906368597,1,0.75,0.5,struct
228,21,4,0.21664658340226514,15.199935913085938,0,0.75,0.5,struct
228,21,5,0.29406987252375866,15.171711921691896,0,0.8571428571428571,0.0,struct
228,21,6,0.29761431263866084,-49.94395460933447,1,0.75,0.0,struct
36,22,0,0.18363101342614832,6.514527797698975,0,1.0,0.75,struct
36,22,1,0.30552076792124744,6.574639797210693,0,0.125,0.0,floor
36,22,2,0.3056882915997973,4.790154774983726,0,0.25,0.0,floor
478,23,0,0.25412651782685,6.7678399085998535,0,0.25,0.5,floor
478,23,1,0.36561538348094247,-4.850029528761901,1,0.8571428571428571,0.0,struct
478,23,2,0.266891474506246,14.03708839416504,0,0.5,0.5,struct
478,23,3,0.2840189620760368,14.305824279785156,0,0.4,0.375,struct
478,23,4,0.3415466565119486,7.266464233398437,0,0.75,0.0,struct
478,23,5,0.264065762553176,-22.491745454569656,1,0.8333333333333334,0.25,struct
478,23,6,0.2923138510100153,4.8135999043782505,0,0.8333333333333334,0.25,struct
478,23,7,0.1824257085989302,14.703455924987791,0,1.0,0.75,struct
268,24,0,0.31788506662671095,6.532383918762207,0,0.375,0.0,struct
29,25,0,0.3232697169323614,3.2690799236297607,0,0.875,0.0,struct
29,25,1,0.23204406254869087,2.2260212898254395,0,0.8,0.375,struct
29,25,2,0.325433507802055,2.6843648910522475,0,0.4,0.0,struct
29,25,3,0.299993742546193,1.6732319593429563,0,0.125,0.0,floor
303,26,0,0.27154556071437946,6.53707218170166,0,0.3333333333333333,0.25,struct
303,26,1,0.30121090672528483,13.616031646728516,0,0.6666666666666666,0.25,struct
303,26,2,0.2962602865890307,3.500272035598755,0,0.6666666666666666,0.25,struct
303,26,3,0.24182702881663712,3.6799280643463135,0,0.5,0.5,struct
303,26,4,0.3720260055243203,-25.07082954396804,1,0.6666666666666666,0.0,struct
303,26,5,0.34208340689273226,16.1265926361084,0,0.7142857142857143,0.125,struct
401,27,0,0.20728178265533875,4.476352055867515,0,0.6666666666666666,0.625,struct
